iter	Passed	Remaining
0	195	19394
1	211	10369
2	231	7491
3	252	6062
4	265	5043
5	286	4485
6	303	4029
7	318	3667
8	319	3230
9	320	2883
10	340	2755
11	353	2589
12	365	2446
13	375	2305
14	385	2183
15	394	2069
16	404	1973
17	413	1884
18	421	1798
19	430	1723
20	438	1651
21	448	1589
22	457	1530
23	465	1474
24	473	1421
25	482	1372
26	490	1327
27	499	1284
28	508	1244
29	517	1207
30	526	1172
31	535	1137
32	543	1104
33	552	1072
34	560	1041
35	570	1013
36	579	986
37	588	960
38	596	933
39	606	909
40	615	885
41	623	860
42	632	838
43	641	816
44	649	794
45	658	772
46	667	752
47	676	733
48	685	713
49	694	694
50	702	674
51	710	656
52	719	637
53	728	620
54	736	602
55	745	585
56	754	569
57	764	553
58	773	537
59	781	521
60	789	505
61	798	489
62	807	474
63	815	458
64	824	443
65	833	429
66	842	414
67	850	400
68	859	386
69	868	372
70	876	358
71	885	344
72	896	331
73	904	317
74	912	304
75	921	291
76	930	277
77	940	265
78	949	252
79	958	239
80	967	226
81	976	214
82	985	201
83	994	189
84	1003	177
85	1012	164
86	1021	152
87	1029	140
88	1038	128
89	1046	116
90	1054	104
91	1063	92
92	1072	80
93	1081	69
94	1089	57
95	1098	45
96	1108	34
97	1117	22
98	1125	11
99	1135	0
