iter	RMSE
0	36274.32421
1	35424.54425
2	34636.86771
3	33835.69328
4	33127.89146
5	32357.03345
6	31671.72896
7	31065.06204
8	30331.25306
9	29721.23327
10	29109.36464
11	28513.41297
12	27969.83926
13	27437.35185
14	26926.56779
15	26392.88715
16	25957.73434
17	25502.82353
18	25078.86236
19	24692.50582
20	24346.77852
21	23990.08864
22	23679.91602
23	23345.0014
24	22956.90905
25	22625.75692
26	22337.08259
27	22075.58019
28	21783.24375
29	21556.14646
30	21332.45409
31	21070.34222
32	20842.13224
33	20600.28759
34	20368.04684
35	20129.28462
36	19940.69315
37	19746.6371
38	19566.41476
39	19403.16772
40	19217.77846
41	19024.41677
42	18843.25867
43	18664.37575
44	18466.25845
45	18318.8859
46	18177.90159
47	18050.25891
48	17922.07763
49	17815.3624
50	17649.49574
51	17550.81144
52	17457.01145
53	17365.72459
54	17264.23506
55	17157.34056
56	17063.53065
57	16963.98969
58	16889.8013
59	16814.34131
60	16703.66584
61	16626.04697
62	16528.74376
63	16453.08508
64	16380.15976
65	16308.70363
66	16218.6427
67	16152.0433
68	16064.63732
69	15977.07495
70	15911.63631
71	15813.55508
72	15735.97562
73	15666.84223
74	15610.18782
75	15560.29481
76	15495.49389
77	15441.1937
78	15377.60334
79	15319.21117
80	15264.7931
81	15205.76144
82	15106.28725
83	15059.39865
84	14968.36632
85	14919.46211
86	14855.14014
87	14808.09185
88	14753.76104
89	14703.87949
90	14673.79931
91	14623.74137
92	14586.31256
93	14541.20876
94	14497.01467
95	14460.34619
96	14417.21731
97	14375.41921
98	14305.12936
99	14256.9731
100	14214.49302
101	14179.70547
102	14156.08914
103	14125.90099
104	14112.60317
105	14057.08645
106	14021.51208
107	13977.7478
108	13939.41626
109	13885.72687
110	13848.02308
111	13806.19921
112	13772.24705
113	13743.29731
114	13716.07092
115	13655.06862
116	13622.76789
117	13598.2314
118	13580.83602
119	13557.86171
120	13533.65645
121	13506.54863
122	13477.94615
123	13419.3657
124	13392.48436
125	13321.58227
126	13264.66545
127	13205.24572
128	13169.37681
129	13134.97687
130	13076.64876
131	13044.64124
132	13000.35237
133	12971.15541
134	12946.93183
135	12905.57679
136	12886.25274
137	12851.5142
138	12826.16305
139	12770.89731
140	12723.97639
141	12699.0841
142	12669.25376
143	12629.34659
144	12601.77759
145	12568.68234
146	12554.70147
147	12530.27975
148	12506.91168
149	12474.90329
150	12435.53132
151	12397.74764
152	12358.37408
153	12322.73511
154	12299.99008
155	12269.45346
156	12241.32747
157	12216.08751
158	12192.35522
159	12164.96957
160	12140.3028
161	12121.90983
162	12091.43938
